Date,exalus,exbzus,excaus,exchus,exdnus,exhkus,exinus,exjpus,exkous,exmaus,exmxus,exnzus,exnous,exsius,exsfus,exslus,exsdus,exszus,extaus,exthus,exukus,exvzus,exeuus
3-Jul,1.5135 ,2.8833 ,1.3821 ,8.2773 ,6.5425 ,7.7992 ,46.2200 ,118.7000 ,1181.1600 ,3.8000 ,10.4580 ,1.7053 ,7.2924 ,1.7551 ,7.5458 ,97.1530 ,8.0929 ,1.3611 ,34.3970 ,41.8080 ,0.6165 ,1.6000 ,0.8799 
3-Aug,1.5342 ,3.0053 ,1.3963 ,8.2770 ,6.6653 ,7.7993 ,45.9600 ,118.6600 ,1178.6000 ,3.8000 ,10.7830 ,1.7156 ,7.4096 ,1.7533 ,7.3945 ,96.9750 ,8.2821 ,1.3811 ,34.3180 ,41.6560 ,0.6274 ,1.6000 ,0.8965 
3-Sep,1.5072 ,2.9204 ,1.3634 ,8.2772 ,6.5953 ,7.7850 ,45.8500 ,114.8000 ,1165.4000 ,3.8000 ,10.9230 ,1.7114 ,7.2782 ,1.7466 ,7.3060 ,95.2840 ,8.0426 ,1.3743 ,33.9950 ,40.4830 ,0.6190 ,1.6000 ,0.8875 
3-Oct,1.4393 ,2.8628 ,1.3221 ,8.2768 ,6.3449 ,7.7427 ,45.4000 ,109.5000 ,1169.3400 ,3.8000 ,11.1800 ,1.6611 ,7.0331 ,1.7345 ,6.9644 ,94.5600 ,7.6957 ,1.3222 ,33.8750 ,39.7610 ,0.5955 ,1.6000 ,0.8537 
3-Nov,1.3970 ,2.9150 ,1.3130 ,8.2769 ,6.3526 ,7.7637 ,45.5500 ,109.1800 ,1186.3900 ,3.8000 ,11.1490 ,1.5911 ,7.0054 ,1.7282 ,6.7205 ,96.0110 ,7.6799 ,1.3318 ,34.0360 ,39.9350 ,0.5918 ,1.6000 ,0.8540 
3-Dec,1.3530 ,2.9255 ,1.3128 ,8.2770 ,6.0537 ,7.7645 ,45.5700 ,107.7400 ,1192.3400 ,3.8000 ,11.2520 ,1.5454 ,6.7128 ,1.7107 ,6.5374 ,96.4130 ,7.3395 ,1.2643 ,34.0560 ,39.7450 ,0.5709 ,1.6000 ,0.8131 
4-Jan,1.2958 ,2.8533 ,1.2958 ,8.2770 ,5.8952 ,7.7663 ,45.4600 ,106.2700 ,1183.3500 ,3.8000 ,10.9200 ,1.4841 ,6.8117 ,1.6965 ,6.9398 ,98.0090 ,7.2334 ,1.2391 ,33.6690 ,39.1240 ,0.5478 ,1.6000 ,0.7913 
4-Feb,1.2870 ,2.9342 ,1.3299 ,8.2771 ,5.8956 ,7.7748 ,45.2700 ,106.7100 ,1167.5300 ,3.8000 ,11.0320 ,1.4459 ,6.9508 ,1.6869 ,6.7542 ,98.5070 ,7.2630 ,1.2448 ,33.2140 ,39.1160 ,0.5355 ,1.8200 ,0.7911 
4-Mar,1.3340 ,2.9067 ,1.3286 ,8.2771 ,6.0757 ,7.7930 ,44.9700 ,108.5200 ,1166.2900 ,3.8000 ,11.0190 ,1.5135 ,6.9598 ,1.6996 ,6.6140 ,97.5220 ,7.5322 ,1.2778 ,33.2520 ,39.4700 ,0.5476 ,1.9200 ,0.8156 
4-Apr,1.3435 ,2.9079 ,1.3420 ,8.2769 ,6.2104 ,7.7970 ,43.8900 ,107.6600 ,1152.8600 ,3.8000 ,11.2700 ,1.5588 ,6.9263 ,1.6849 ,6.5747 ,98.1320 ,7.6496 ,1.2969 ,32.9710 ,39.4530 ,0.5546 ,1.9200 ,0.8341 
